Time    S       E       I_NS    I_Sy    I_Sev   I_Crit  R       D      
11.0833 567.0000 3786.0000 3861.0000 1586.0000 71.0000 15.0000 111.0000  3.0000
11.1250 567.0000 3788.0000 3848.0000 1594.0000 69.0000 15.0000 116.0000  3.0000
11.1667 566.0000 3795.0000 3840.0000 1597.0000 70.0000 15.0000 114.0000  3.0000
11.2083 565.0000 3786.0000 3828.0000 1604.0000 72.0000 15.0000 127.0000  3.0000
11.2500 565.0000 3777.0000 3830.0000 1604.0000 74.0000 15.0000 132.0000  3.0000
11.2917 565.0000 3764.0000 3838.0000 1607.0000 74.0000 15.0000 134.0000  3.0000
11.3333 564.0000 3747.0000 3842.0000 1612.0000 77.0000 15.0000 140.0000  3.0000
11.3750 564.0000 3737.0000 3843.0000 1616.0000 78.0000 15.0000 144.0000  3.0000
11.4167 563.0000 3738.0000 3823.0000 1620.0000 76.0000 16.0000 161.0000  3.0000
11.4583 561.0000 3729.0000 3822.0000 1631.0000 76.0000 17.0000 160.0000  4.0000
11.5000 557.0000 3722.0000 3835.0000 1624.0000 78.0000 15.0000 164.0000  5.0000
11.5417 557.0000 3717.0000 3842.0000 1619.0000 81.0000 15.0000 164.0000  5.0000
11.5833 556.0000 3700.0000 3840.0000 1618.0000 83.0000 15.0000 183.0000  5.0000
11.6250 555.0000 3698.0000 3837.0000 1614.0000 86.0000 16.0000 189.0000  5.0000
11.6667 553.0000 3708.0000 3848.0000 1615.0000 87.0000 16.0000 168.0000  5.0000
11.7083 552.0000 3733.0000 3821.0000 1628.0000 87.0000 17.0000 157.0000  5.0000
11.7500 552.0000 3761.0000 3818.0000 1627.0000 90.0000 17.0000 130.0000  5.0000
11.7917 552.0000 3786.0000 3801.0000 1633.0000 93.0000 17.0000 113.0000  5.0000
11.8333 551.0000 3791.0000 3786.0000 1630.0000 95.0000 17.0000 125.0000  5.0000
